City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Alexander City,US,32.944,-85.9539,45.54,93,100,10.36,overcast clouds
242,Wajir,KE,1.7471,40.0573,93.16,27,20,0.0,few clouds
243,Port Keats,AU,-14.25,129.55,80.15,83,100,5.39,overcast clouds
244,Fairbanks,US,64.8378,-147.7164,1.74,66,100,0.0,light snow
245,Charlestown,AU,-32.95,151.6667,69.73,67,47,7.0,scattered clouds
246,Harper,LR,4.375,-7.7169,83.41,68,76,10.54,broken clouds
247,Lasa,IT,46.6166,10.7002,45.48,77,4,2.06,clear sky
248,Kudahuvadhoo,MV,2.6708,72.8944,81.93,74,66,9.26,broken clouds
249,Zhuanghe,CN,39.7008,122.9911,15.53,58,0,11.18,clear sky
250,Kieta,PG,-6.2167,155.6333,81.14,83,100,11.61,overcast clouds
251,Talnakh,RU,69.4865,88.3972,-2.79,96,99,7.94,overcast clouds
252,Sahuaripa,MX,29.05,-109.2333,55.29,40,0,5.53,clear sky
253,Khatanga,RU,71.9667,102.5,-35.09,100,98,3.38,overcast clouds
254,Moose Factory,CA,51.2585,-80.6094,-11.2,64,0,8.05,clear sky
255,Hohhot,CN,40.8106,111.6522,1.69,66,0,6.71,clear sky
256,Ust-Tsilma,RU,65.441,52.1498,-7.89,100,91,2.39,overcast clouds
257,Itaqui,BR,-29.1253,-56.5531,88.7,51,69,6.87,broken clouds
258,Mana,GF,5.6592,-53.7767,79.18,84,69,9.6,broken clouds
259,Abapo,BO,-18.8333,-63.4667,93.51,33,68,3.49,broken clouds
260,Slantsy,RU,59.1182,28.0914,17.29,89,28,11.14,scattered clouds
261,Balakhta,RU,55.38,91.6,-4.61,99,97,0.54,overcast clouds
262,Constitucion,CL,-35.3333,-72.4167,68.92,69,12,10.13,few clouds
263,Humen,CN,22.819,113.6731,55.9,59,34,11.05,scattered clouds
264,Garden City,US,42.3256,-83.331,18.95,76,100,1.99,overcast clouds
265,Provideniya,RU,64.3833,-173.3,-0.42,65,7,15.08,clear sky
266,Borogontsy,RU,62.6683,131.1683,-34.82,100,100,0.22,overcast clouds
267,Tiksi,RU,71.6872,128.8694,-19.68,99,98,6.67,overcast clouds
268,Norman Wells,CA,65.282,-126.8329,-30.96,68,40,9.22,scattered clouds
269,Sinegorye,RU,62.0788,150.477,-20.34,89,89,0.85,overcast clouds
270,Onega,RU,63.9061,38.1404,-1.46,100,76,4.88,broken clouds
271,Bathsheba,BB,13.2167,-59.5167,77.61,78,75,16.11,broken clouds
272,Pochutla,MX,15.7432,-96.4661,85.82,40,0,7.14,clear sky
273,Alta Floresta,BR,-9.8756,-56.0861,85.98,67,33,2.46,scattered clouds
274,Longyearbyen,SJ,78.2186,15.6401,17.44,62,0,25.32,clear sky
275,Jalu,LY,29.0331,21.5482,57.07,48,3,8.14,clear sky
276,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,74,40,17.27,scattered clouds
277,Caravelas,BR,-17.7125,-39.2481,79.72,77,100,4.59,light rain
278,Lewisporte,CA,49.2499,-55.0482,22.71,92,100,10.8,snow
279,Garowe,SO,8.4054,48.4845,76.05,21,21,13.35,few clouds
280,Yar-Sale,RU,66.8333,70.8333,6.1,97,100,2.8,light snow
281,Temir,KZ,49.1414,57.13,26.56,82,100,17.52,overcast clouds
282,Albacete,ES,38.8333,-2.0,58.19,41,0,6.91,clear sky
283,Leh,IN,34.1667,77.5833,-0.47,94,98,3.4,overcast clouds
284,Floro,NO,61.5996,5.0328,37.36,87,75,24.16,broken clouds
285,Tura,IN,25.5198,90.2201,53.44,99,100,4.56,overcast clouds
286,Mount Isa,AU,-20.7333,139.5,73.17,38,74,9.22,broken clouds
287,Lumberton,US,34.6182,-79.0086,76.82,73,100,16.24,overcast clouds
288,Pathein,MM,16.7833,94.7333,69.98,70,30,5.28,scattered clouds
