City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
319,Chicama,PE,66.74,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
320,Hirara,JP,63.27,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
324,Gaziantep,TR,40.66,broken clouds,37.0594,37.3825,Novotel Gaziantep
325,San Quintin,MX,57.76,clear sky,30.4833,-115.95,Don Eddie's Landing
326,Bhavnagar,IN,67.68,clear sky,21.7667,72.15,Hotel Mausam
327,Nishihara,JP,60.08,overcast clouds,26.1842,127.7558,Minshuku Agaihama
329,Rio Gallegos,AR,51.85,few clouds,-51.6226,-69.2181,Hotel Santa Cruz
333,Qesarya,IL,55.99,overcast clouds,32.5189,34.9046,Dan Caesarea Resort - Happiness Is Around
335,Calbuco,CL,63.61,broken clouds,-41.768,-73.1273,Hotel Colonial
338,Zhuhai,CN,57.06,clear sky,22.2769,113.5678,珠海粤财假日酒店
339,Barcelos,PT,55.85,overcast clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
342,Healesville,AU,61.0,clear sky,-37.65,145.5167,Tuck Inn Yarra Valley Accommodation Healesville
344,Tab,HU,49.48,scattered clouds,46.7314,18.032,Gyöngy vendégház
345,Lompoc,US,64.13,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
349,Kohlu,PK,51.64,clear sky,29.8962,69.252,B &R Rest House
353,Kruisfontein,ZA,66.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
354,Esperance,AU,66.04,clear sky,-33.8667,121.9,Hospitality Esperance
358,Margate,GB,45.97,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
360,Fukue,JP,42.93,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
364,Batemans Bay,AU,63.1,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
366,Tinqueux,FR,49.05,overcast clouds,49.25,3.9833,L'Assiette Champenoise
367,Butembo,CD,65.48,overcast clouds,0.15,29.2833,Hotel Butembo
369,Oudtshoorn,ZA,64.76,overcast clouds,-33.5907,22.2014,Earthbound Guest House
375,Deniliquin,AU,63.0,clear sky,-35.5333,144.9667,Riviana Motel
380,Apolda,DE,46.15,overcast clouds,51.0167,11.5,"Hotel ""Zwei Länder"" Apolda"
381,Aswan,EG,63.7,clear sky,24.0934,32.907,Nuba Nile
383,Salinas,US,56.97,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
386,Naze,JP,52.43,overcast clouds,28.3667,129.4833,Shishime Hotel
